DT,COMP_PRD_NO,COMP_STOCK_NO,BASE_QTY,INCM_QTY,END_QTY,ORD_CNT,ORD_QTY,MIN_ACTUAL_PAY,MED_ACTUAL_PAY,EVNT_11ST_2016,EVNT_MW_HOT_ISSUE,EVNT_MW_SHCK_DEAL,EVNT_MW_LOWER_BANS,EVNT_NOW_BANS,EVNT_OTHERS
2016-11-17,1624714294,6252686295,0,1024,1018,14,32,15840,17853,N,N,N,N,N,N
2016-11-18,1624714294,6252686295,1018,640,254,785,1592,12465,14685,N,N,Y,N,N,N
2016-11-21,1624714294,6252686295,56,0,38,7,14,15840,17185,N,N,N,N,N,N
2016-11-26,1624714294,6252686295,1249,0,1209,13,26,16545,17950,N,N,N,N,N,N
2016-11-24,1624714294,6252686295,27,1280,1307,8,16,16670,18685,N,N,N,N,N,N
2016-11-25,1624714294,6252686295,1307,0,1249,32,66,14390,17128,N,N,N,N,N,N
2016-11-29,1624714294,6252686295,2350,0,2240,54,110,16450,17950,N,N,N,N,N,N
2016-11-27,1624714294,6252686295,1209,0,1209,32,64,16545,18410,N,N,N,N,N,N
2016-11-28,1624714294,6252686295,1209,1279,2350,49,102,16545,18870,N,N,N,N,N,N
2016-11-30,1624714294,6252686295,2240,0,2134,51,102,17055,18480,N,N,N,N,N,N
2016-12-01,1624714294,6252686295,2134,1024,2906,185,378,14020,16465,N,N,N,N,N,N
2016-12-04,1624714294,6252686295,2458,0,2458,98,208,14450,17315,N,N,N,N,N,N
2016-12-02,1624714294,6252686295,2906,0,2580,105,226,15960,17315,N,N,N,N,N,N
2016-12-03,1624714294,6252686295,2580,0,2458,64,132,15345,17315,N,N,N,N,N,N
2016-12-05,1624714294,6252686295,2458,1280,3328,103,216,14450,17315,N,N,N,N,N,N
2016-12-06,1624714294,6252686295,3328,0,2676,434,884,14245,16445,N,N,N,Y,N,Y
2016-12-07,1624714294,6252686295,2676,0,2122,191,392,9250,16445,N,N,N,N,N,N
2016-12-10,1624714294,6252686295,1426,0,1268,106,216,14460,16800,N,N,N,N,N,N
2016-12-08,1624714294,6252686295,2122,0,1734,175,358,9725,16445,N,N,N,N,N,N
2016-12-09,1624714294,6252686295,1734,0,1426,122,256,14450,16554,N,N,N,N,N,N
2016-12-11,1624714294,6252686295,1268,0,1268,260,578,12480,15208,N,N,N,N,N,N
2016-12-12,1624714294,6252686295,1268,640,1033,190,396,15475,16930,N,N,N,N,N,N
2016-12-15,1624714294,6252686295,449,0,273,79,168,15625,17930,N,N,N,N,N,N
2016-12-13,1624714294,6252686295,1033,0,651,118,254,14020,18480,N,N,N,N,N,N
2016-12-14,1624714294,6252686295,651,0,449,71,146,16445,18870,N,N,N,N,N,N
2016-12-16,1624714294,6252686295,273,0,152,58,120,15960,18030,N,N,N,N,N,N
2016-12-17,1624714294,6252686295,152,0,76,35,74,16475,18495,N,N,N,N,N,N
2016-12-20,1624714294,6252686295,650,0,488,72,156,16450,18023,N,N,N,N,N,N
2016-12-18,1624714294,6252686295,76,0,76,13,26,17035,17930,N,N,N,N,N,N
2016-12-19,1624714294,6252686295,76,640,650,27,58,15625,18480,N,N,N,N,N,N
2016-12-21,1624714294,6252686295,488,0,356,53,116,16950,17930,N,N,N,N,N,N
2016-12-22,1624714294,6252686295,356,0,288,24,50,17035,18480,N,N,N,N,N,N
2016-12-23,1624714294,6252686295,288,640,894,8,16,16120,18023,N,N,N,N,N,N
2016-12-26,1624714294,6252686295,894,0,858,14,28,16475,17930,N,N,N,N,N,N
2016-12-24,1624714294,6252686295,894,0,894,6,12,17035,17845,N,N,N,N,N,N
2016-12-25,1624714294,6252686295,894,0,894,9,18,17165,19065,N,N,N,N,N,N
2016-12-27,1624714294,6252686295,858,0,826,11,26,17035,17930,N,N,N,N,N,N
2016-12-28,1624714294,6252686295,826,0,798,5,10,17575,17595,N,N,N,N,N,N
2016-12-31,1624714294,6252686295,753,0,738,15,28,16120,17560,N,N,N,N,N,N
2016-12-29,1624714294,6252686295,798,640,1426,11,22,17035,17930,N,N,N,N,N,N
2016-12-30,1624714294,6252686295,1426,0,753,18,32,16120,18480,N,N,N,N,N,N
2017-01-01,1624714294,6252686295,738,0,738,40,58,16430,16465,N,N,N,N,N,N
2017-01-02,1624714294,6252686295,738,640,1263,65,105,17035,18850,N,N,N,N,N,N
2017-01-05,1624714294,6252686295,1202,1920,2925,56,109,16545,18475,N,N,N,N,N,N
2017-01-03,1624714294,6252686295,1263,0,979,210,407,16545,17415,N,N,N,N,N,N
2017-01-04,1624714294,6252686295,979,640,1202,176,357,14245,17415,N,N,N,N,N,N
2017-01-06,1624714294,6252686295,2925,0,2790,70,162,17005,17900,N,N,N,N,N,N
2017-01-07,1624714294,6252686295,2790,0,2630,89,197,17005,17900,N,N,N,N,N,N
2017-01-10,1624714294,6252686295,2125,0,1861,109,217,16495,17360,N,N,N,N,N,N
2017-01-08,1624714294,6252686295,2630,0,2630,111,244,17005,17900,N,N,N,N,N,N
2017-01-09,1624714294,6252686295,2630,0,2125,119,264,17005,17900,N,N,N,N,N,N
2017-01-11,1624714294,6252686295,1861,0,1292,416,871,12600,15455,N,N,N,N,N,N
2017-01-12,1624714294,6252686295,1292,1280,2020,129,279,16495,17570,N,N,N,N,N,N
2017-01-15,1624714294,6252686295,2286,0,2286,101,205,16480,17360,N,N,N,N,N,N
2017-01-13,1624714294,6252686295,2020,0,1779,102,207,16495,17538,N,N,N,N,N,N
2017-01-14,1624714294,6252686295,1779,0,2286,76,157,16495,17449,N,N,N,N,N,N
2017-01-16,1624714294,6252686295,2286,0,1823,129,265,16495,17360,N,N,N,N,N,N
2017-01-17,1624714294,6252686295,1823,0,1551,116,273,16495,17505,N,N,N,N,N,N
2017-01-20,1624714294,6252686295,2368,0,2171,70,151,16085,17360,N,N,N,N,N,N
2017-01-18,1624714294,6252686295,1551,1280,2601,109,233,14245,17540,N,N,N,N,N,N
2017-01-19,1624714294,6252686295,2601,0,2368,102,218,16495,17360,N,N,N,N,N,N
2017-01-21,1624714294,6252686295,2171,0,2171,44,88,16495,17360,N,N,N,N,N,N
2017-01-22,1624714294,6252686295,2171,0,2107,54,111,16495,17820,N,N,N,N,N,N
2017-01-25,1624714294,6252686295,1666,0,1497,114,230,14245,17055,N,N,N,Y,N,Y
2017-01-23,1624714294,6252686295,2107,0,1829,82,175,16495,17540,N,N,N,N,N,N
2017-01-24,1624714294,6252686295,1829,0,1666,55,118,16495,17660,N,N,N,N,N,N
2017-01-26,1624714294,6252686295,1497,0,1497,42,86,16545,17415,N,N,N,Y,N,Y
2017-01-29,1624714294,6252686295,1497,0,1497,42,85,16545,17595,N,N,N,N,N,Y
2017-01-27,1624714294,6252686295,1497,0,1497,24,48,16545,17243,N,N,N,N,N,Y
2017-01-28,1624714294,6252686295,1497,0,1497,23,46,16545,17415,N,N,N,N,N,Y
2017-01-30,1624714294,6252686295,1497,0,1122,63,124,16545,17415,N,N,N,N,N,Y
2017-01-31,1624714294,6252686295,1122,0,896,87,174,16545,17415,N,N,N,N,N,Y
2017-02-01,1624714294,6252686295,896,1920,2425,292,632,15670,16240,N,N,N,Y,N,Y
2017-02-03,1624714294,6252686295,2505,0,2251,104,236,16315,17170,N,N,N,N,N,Y
2017-02-02,1624714294,6252686295,2425,640,2505,170,378,16315,17170,N,N,N,Y,N,Y
2017-02-04,1624714294,6252686295,2251,0,2116,45,94,16315,17170,N,N,N,N,N,N
2017-02-05,1624714294,6252686295,2116,0,2116,97,215,16315,17170,N,N,N,N,N,Y
2017-02-08,1624714294,6252686295,3326,0,3131,85,186,16315,17415,N,N,N,N,N,N
2017-02-06,1624714294,6252686295,2116,1280,2947,120,274,16315,17190,N,N,N,N,N,Y
2017-02-07,1624714294,6252686295,2947,640,3326,121,254,16315,17170,N,N,N,N,N,Y
2017-02-09,1624714294,6252686295,3131,640,3597,70,158,16545,17875,N,N,N,N,N,N
2017-02-10,1624714294,6252686295,3597,640,4112,51,111,16545,17415,N,N,N,N,N,Y
2017-02-13,1624714294,6252686295,3796,640,4271,63,133,16545,17950,N,N,N,N,N,N
2017-02-11,1624714294,6252686295,4112,0,4112,117,243,14630,15500,N,N,N,N,N,Y
2017-02-12,1624714294,6252686295,4112,0,3796,48,103,16545,17950,N,N,N,N,N,Y
2017-02-14,1624714294,6252686295,4271,0,4089,78,166,16545,17415,N,N,N,N,N,N
2017-02-17,1624714294,6252686295,4787,0,4460,72,148,16545,17505,N,N,N,N,N,N
2017-02-15,1624714294,6252686295,4089,1280,5225,75,162,16545,17415,N,N,N,N,N,N
2017-02-16,1624714294,6252686295,5225,0,4787,297,603,16085,16930,N,N,Y,N,N,N
2017-02-18,1624714294,6252686295,4460,0,4379,45,87,16545,17595,N,N,N,N,N,N
2017-02-19,1624714294,6252686295,4379,0,4379,55,109,16545,17773,N,N,N,N,N,N
2017-02-22,1624714294,6252686295,3987,1280,5082,68,154,16178,17413,N,N,N,N,N,N
2017-02-20,1624714294,6252686295,4379,0,4131,63,129,16545,17415,N,N,N,N,N,N
2017-02-21,1624714294,6252686295,4131,0,3987,83,165,16545,17788,N,N,N,N,N,N
2017-02-23,1624714294,6252686295,5082,0,4903,128,252,14715,16130,N,N,N,N,N,N
2017-02-24,1624714294,6252686295,4903,0,4731,54,114,14715,17415,N,N,N,N,N,N
2017-02-27,1624714294,6252686295,4528,1280,5630,73,161,15960,17950,N,N,N,N,N,N
2017-02-25,1624714294,6252686295,4731,0,4731,40,106,14715,17369,N,N,N,N,N,N
2017-02-26,1624714294,6252686295,4731,0,4528,63,125,14505,17415,N,N,N,N,N,N
2017-02-28,1624714294,6252686295,5630,0,5486,66,135,16370,17415,N,N,N,N,N,N
2017-03-03,1624714294,6252686295,5145,1920,6911,79,158,17125,17533,N,N,N,N,N,Y
2017-03-01,1624714294,6252686295,5486,0,5365,83,172,16930,17474,N,N,N,N,N,N
2017-03-02,1624714294,6252686295,5365,0,5145,85,151,17125,17760,N,N,N,N,N,N
2017-03-04,1624714294,6252686295,6911,0,6911,54,88,17125,17415,N,N,N,N,N,Y
2017-03-05,1624714294,6252686295,6911,0,6735,76,127,17125,17651,N,N,N,N,N,Y
2017-03-08,1624714294,6252686295,6359,0,6218,74,128,17230,17950,N,N,N,N,N,N
2017-03-06,1624714294,6252686295,6735,0,6518,90,167,16930,17474,N,N,N,N,N,N
2017-03-07,1624714294,6252686295,6518,0,6359,153,188,15630,16390,N,N,N,N,N,Y
2017-03-09,1624714294,6252686295,6218,0,6071,73,141,17224,17697,N,N,N,N,N,N
2017-03-10,1624714294,6252686295,6071,0,5969,45,75,17224,17760,N,N,N,N,N,N
2017-03-13,1624714294,6252686295,5756,0,5589,67,129,17224,17760,N,N,N,N,N,N
2017-03-11,1624714294,6252686295,5969,0,5969,100,187,13800,15690,N,N,N,N,N,N
2017-03-12,1624714294,6252686295,5969,0,5756,43,78,16930,17950,N,N,N,N,N,N
2017-03-14,1624714294,6252686295,5589,0,5442,67,144,17230,17760,N,N,N,N,N,N
2017-03-16,1624714294,6252686295,5307,0,5172,68,125,17224,17760,N,N,N,N,N,N
2017-03-17,1624714294,6252686295,5172,0,5049,44,87,16930,17753,N,N,N,N,N,N
2017-03-15,1624714294,6252686295,5442,0,5307,81,167,17224,17760,N,N,N,N,N,N
2017-03-18,1624714294,6252686295,5049,0,5049,31,62,17224,17950,N,N,N,N,N,N
2017-03-21,1624714294,6252686295,4812,0,4664,73,132,17224,17760,N,N,N,N,N,N
2017-03-19,1624714294,6252686295,5049,0,4961,45,80,17224,17760,N,N,N,N,N,N
2017-03-20,1624714294,6252686295,4961,0,4812,80,145,17224,17950,N,N,N,N,N,N
2017-03-22,1624714294,6252686295,4664,0,3894,107,199,15335,16325,N,N,N,N,N,N
2017-03-23,1624714294,6252686295,3894,0,3611,316,381,14995,15000,N,N,N,N,N,N
2017-03-26,1624714294,6252686295,3187,0,2841,3,4,17760,17760,N,N,N,N,N,Y
2017-03-24,1624714294,6252686295,3611,0,3187,301,348,14850,15000,N,N,N,N,N,N
2017-03-25,1624714294,6252686295,3187,0,3187,201,248,14995,15000,N,N,N,N,N,Y
2017-03-27,1624714294,6252686295,2841,0,2762,89,133,17230,17950,N,N,N,N,N,N
2017-03-28,1624714294,6252686295,2762,0,2642,58,89,17230,17855,N,N,N,N,N,N
2017-03-31,1624714294,6252686295,1074,0,1023,32,50,17230,17950,N,N,N,N,N,N
2017-03-29,1624714294,6252686295,2642,0,1155,56,112,17230,17950,N,N,N,N,N,N
2017-03-30,1624714294,6252686295,1155,0,1074,29,45,17230,17775,N,N,N,N,N,N
2017-04-01,1624714294,6252686295,1023,0,1023,40,70,17230,17950,N,N,N,N,N,N
2017-04-04,1624714294,6252686295,875,0,720,78,138,16927,17450,N,N,N,N,N,Y
2017-04-02,1624714294,6252686295,1023,0,932,37,53,17230,17950,N,N,N,N,N,N
2017-04-03,1624714294,6252686295,932,0,875,54,87,16928,17450,N,N,N,N,N,N
2017-04-05,1624714294,6252686295,720,0,584,56,114,16928,17450,N,N,N,N,N,N
2017-04-06,1624714294,6252686295,584,0,489,56,92,16928,17450,N,N,N,N,N,N
2017-04-09,1624714294,6252686295,1677,0,1599,52,91,16928,17450,N,N,N,N,N,Y
2017-04-07,1624714294,6252686295,489,1280,1677,37,71,16928,17450,N,N,N,N,N,N
2017-04-08,1624714294,6252686295,1677,0,1677,20,40,16927,17450,N,N,N,N,N,N
2017-04-10,1624714294,6252686295,1599,0,1421,90,161,17230,17950,N,N,N,N,N,N
2017-04-13,1624714294,6252686295,1066,640,1592,69,120,17230,17950,N,N,N,N,N,N
2017-04-11,1624714294,6252686295,1421,0,1233,144,236,15335,17008,N,N,N,N,N,N
2017-04-12,1624714294,6252686295,1233,0,1066,62,103,16738,17950,N,N,N,N,N,N
2017-04-14,1624714294,6252686295,1592,0,1491,55,90,17230,17950,N,N,N,N,N,Y
2017-04-17,1624714294,6252686295,1398,0,1257,68,122,16455,17230,N,N,N,N,N,N
2017-04-15,1624714294,6252686295,1491,0,1491,25,47,17230,17760,N,N,N,N,N,N
2017-04-16,1624714294,6252686295,1491,0,1398,42,73,17230,17950,N,N,N,N,N,N
2017-04-18,1624714294,6252686295,1257,0,1150,67,116,16455,17230,N,N,N,N,N,N
2017-04-19,1624714294,6252686295,1150,0,1026,60,104,16455,17230,N,N,N,Y,N,N
2017-04-22,1624714294,6252686295,853,0,853,79,133,14645,15335,N,N,N,N,N,N
2017-04-20,1624714294,6252686295,1026,0,946,49,85,16455,16960,N,N,N,Y,N,N
2017-04-21,1624714294,6252686295,946,0,853,43,70,16455,17230,N,N,N,N,N,N
2017-04-23,1624714294,6252686295,853,0,688,29,55,16455,17230,N,N,N,N,N,N
2017-04-26,1624714294,6252686295,298,0,142,91,169,14505,16455,N,N,N,N,N,N
2017-04-24,1624714294,6252686295,688,0,545,97,203,16451,16960,N,N,N,N,N,N
2017-04-25,1624714294,6252686295,545,0,298,96,195,16452,16960,N,N,N,N,N,N
2017-04-27,1624714294,6252686295,142,0,15,33,64,16452,16455,N,N,N,N,N,N
2017-04-28,1624714294,6252686295,15,640,635,23,41,16455,16455,N,N,N,N,N,N
2017-05-01,1624714294,6252686295,538,0,361,81,146,16928,17450,N,N,N,N,N,N
2017-04-29,1624714294,6252686295,635,0,635,26,49,16295,16960,N,N,N,N,N,N
2017-04-30,1624714294,6252686295,635,0,538,55,105,16455,16455,N,N,N,N,N,N
2017-05-02,1624714294,6252686295,361,0,218,62,130,14950,17450,N,N,N,N,N,N
2017-05-05,1624714294,6252686295,1298,0,1298,24,55,16930,17450,N,N,N,N,N,N
2017-05-03,1624714294,6252686295,218,0,126,49,87,16930,17280,N,N,N,N,N,N
2017-05-04,1624714294,6252686295,126,1280,1298,43,88,16927,16930,N,N,N,N,N,N
2017-05-06,1624714294,6252686295,1298,0,1298,33,52,16930,17450,N,N,N,N,N,N
2017-05-07,1624714294,6252686295,1298,0,1170,42,76,14505,17450,N,N,N,N,N,N
2017-05-10,1624714294,6252686295,854,0,660,89,162,17450,17450,N,N,N,N,N,Y
2017-05-11,1624714294,6252686295,660,1280,1725,145,252,15535,15975,N,N,N,N,N,N
2017-05-08,1624714294,6252686295,1170,0,976,89,175,17280,17450,N,N,N,N,N,N
2017-05-09,1624714294,6252686295,976,0,854,77,160,17450,17450,N,N,N,N,N,N
2017-05-14,1624714294,6252686295,1565,0,1413,48,91,17450,17450,N,N,N,N,N,N
2017-05-12,1624714294,6252686295,1725,0,1565,62,117,17280,17450,N,N,N,N,N,N
2017-05-13,1624714294,6252686295,1565,0,1565,43,86,17450,17450,N,N,N,N,N,N
2017-05-15,1624714294,6252686295,1413,3200,4467,81,153,14505,17760,N,N,N,N,N,N
2017-05-16,1624714294,6252686295,4467,0,4313,63,116,17230,17950,N,N,N,N,N,N
2017-05-19,1624714294,6252686295,5391,0,5292,33,55,14950,17950,N,N,N,N,N,N
2017-05-17,1624714294,6252686295,4313,1280,5490,54,96,16930,17950,N,N,N,N,N,Y
2017-05-18,1624714294,6252686295,5490,0,5391,57,119,17230,17760,N,N,N,N,N,N
2017-05-20,1624714294,6252686295,5292,0,5292,23,32,17230,18450,N,N,N,N,N,N
2017-05-23,1624714294,6252686295,5056,0,4921,49,80,16455,17230,N,N,N,Y,N,Y
2017-05-21,1624714294,6252686295,5292,0,5215,39,59,17230,17900,N,N,N,N,N,N
